app_name,publisher,category,revenue,downloads,arpu,growth_rate,dau,score,priority,source
WeightWatchers Program,WW,Health & Fitness,1305470.26,27926,46.747484781207476,-0.08055907929856787,261096.0,79.92925129214727,P0,Nutrition
MyFitnessPal: Calorie Counter,MyFitnessPal,Health & Fitness,9359839.56,406984,22.998052896428362,0.047031199198610055,2648160.0,76.73418244420722,P0,Nutrition
Carbon - Macro Coach & Tracker,Reform,Health & Fitness,174786.43,0,50.0,0.003768847395534467,9888.0,72.53961330083925,P0,Nutrition
MacroFactor - Macro Tracker,Stronger By Science,Health & Fitness,1498991.48,59777,25.076391923314986,-0.06002706309712371,313480.0,69.7880883977333,P1,Nutrition
Calorie Counter +,Nutracheck,Health & Fitness,689384.86,26116,26.397030938888037,-0.1453778112421931,118617.0,66.77183211243545,P1,Nutrition
"Noom Weight Loss, Food Tracker",Noom,Health & Fitness,911210.69,43893,20.759817966418336,-0.11765001620834278,215382.0,65.59372230695513,P1,Nutrition
Lose It! – Calorie Counter,Ziff Davis,Health & Fitness,1022295.94,94886,10.77393862108214,0.08870164523567657,1286911.0,64.33658408659521,P1,Nutrition
AI Calorie Tracker by Yazio,YAZIO,Health & Fitness,1595729.01,170779,9.343824533461374,-0.08486923915529547,824484.0,63.26115882144548,P1,Nutrition
Cal AI - Calorie Tracker,Viral Development,Health & Fitness,1960697.39,419754,4.6710630273922344,0.16312037178233835,231788.0,60.961975513048294,P1,Nutrition
Calorie Counter - MyNetDiary,MyNetDiary,Health & Fitness,687298.75,128420,5.351960364429217,-0.10366965457467925,444829.0,58.23777158140107,P1,Nutrition
Yuka - Food & Cosmetic Scanner,Yuka,Health & Fitness,647503.7,617729,1.048200262574689,-0.03411109296858077,1257411.0,57.69028066118313,P1,Nutrition
Zero: Fasting & Health Tracker,Big Sky Health,Health & Fitness,252446.62,27081,9.321909087552157,0.0026950197423740337,116682.0,56.44901967611174,P1,Nutrition
Foodvisor - AI Calorie Counter,Foodvisor,Health & Fitness,355726.08,71820,4.9530225563909775,-0.025265421700998946,113586.0,54.943036191512164,P1,Nutrition
RP Diet Coach & Planner,Renaissance Periodization,Health & Fitness,191540.14,16591,11.544821891386897,0.4167912047465207,5519.0,54.81665389025141,P1,Nutrition
Lifesum: AI Calorie Counter,Lifesum,Health & Fitness,256866.5,40181,6.39273537243971,-0.09444311106022,97721.0,54.302178313397604,P1,Nutrition
Fastic Weight Loss & Fasting,Fastic,Health & Fitness,216009.3,38053,5.676537986492523,-0.16223432724262543,90890.0,53.07543923932508,P1,Nutrition
Carb Manager—Keto Diet Tracker,Wombat Apps,Health & Fitness,139670.44,14486,9.641753417092366,-0.10723906224282549,27833.0,52.64608554721259,P1,Nutrition
BitePal: Food Tracker Pet,Reface Lithuania,Health & Fitness,254174.45,77972,3.259816985584569,-0.059354376899151615,63445.0,52.30078268196961,P1,Nutrition
Calorie Counter & Food Tracker,Municorn,Health & Fitness,184563.01,31978,5.771562011382826,-0.007434012997261076,31393.0,52.0672927548214,P1,Nutrition
HitMeal Calorie & Food Tracker,AIBY,Health & Fitness,180165.06,25993,6.931291501558111,-0.15642683004257266,26508.0,51.61336522154802,P1,Nutrition
AI Calorie Counter - Appediet,Appediet Information,Health & Fitness,197385.22,76799,2.5701535176239276,-0.05042368033886345,69653.0,51.49673340103652,P1,Nutrition
Calo: AI Food Calorie Counter,Next Vision,Health & Fitness,208432.84,110055,1.8938970514742628,-0.11452028452896885,84476.0,51.23475001420706,P1,Nutrition
CalDiet-AI Calorie Counter,HAPPY AI,Health & Fitness,131260.61,73082,1.796073041241345,-0.0008041639309944525,96014.0,50.77521207376001,P1,Nutrition
MacrosFirst - Macro Tracker,MacrosFirst,Health & Fitness,109047.38,23417,4.656761327240893,-0.12598809600047192,61090.0,50.506183821293256,P1,Nutrition
Eato: Calorie Counter,Enerjoy,Health & Fitness,141971.45,34794,4.08034287520837,-0.31534856899088753,87012.0,50.40696017889839,P1,Nutrition
Simple: AI Weight Loss Coach,Palta,Health & Fitness,121923.95,92189,1.3225433620063132,0.07925839151095883,72908.0,50.38260038212826,P1,Nutrition
BodyFast: Intermittent Fasting,BodyFast,Health & Fitness,131216.83,44355,2.9583323187915678,-0.013366640971372355,23820.0,49.407603659541536,P2,Nutrition
MenuFit - Healthy Eating Out,Kosco Digital,Health & Fitness,159438.07,66647,2.3922767716476363,0.47633706931506814,,38.42944743567799,P2,Nutrition
Ivy: Processed Food Scanner,Ivy Apps,Health & Fitness,161301.74,75359,2.1404442734112714,0.4781097333896347,,38.34135350477936,P2,Nutrition
Stupid Simple Macro Tracker,Venn Interactive,Health & Fitness,27284.15,125,50.0,0.13532865012146333,9492.0,13.702803182654089,P2,Nutrition
Calorie Counter PRO MyNetDiary,MyNetDiary,Health & Fitness,29494.48,862,34.21633410672854,1.5352709293549922,2289.0,13.178510607176111,P2,Nutrition
WayBetter Secret to Motivation,DietBet (WayBetter,Health & Fitness,13020.53,0,50.0,-0.15063927774661115,5544.0,12.902705122043466,P2,Nutrition
FastEasy: Intermittent Fasting,Welltech,Health & Fitness,36785.76,255,50.0,-0.10814162471733753,562.0,12.84372938064422,P2,Nutrition
Keto Diet App － Carb Tracker,Fjor Nutrition,Health & Fitness,38422.21,850,45.2026,-0.49060146139386873,3693.0,12.512422925580882,P2,Nutrition
My Macros+ | Macro Tracker,My Macros,Health & Fitness,16349.0,39,50.0,0.16094690775126808,84.0,12.1945901519093,P2,Nutrition
Window - Intermittent Fasting,Bending Spoons,Health & Fitness,492.91,3,50.0,2.0,10.0,11.71289956626849,P2,Nutrition
Fitollo - Jadłospisy i Dieta,Fitollo,Health & Fitness,1174.18,1,50.0,2.0,,11.522727286470568,P2,Nutrition
Kalorické Tabulky,Dine4Fit,Health & Fitness,1793.83,1,50.0,0.32461251043028144,183.0,11.467526357093357,P2,Nutrition
CombiYou,Curarsi con il Cibo,Health & Fitness,10099.98,179,50.0,0.4717017422943148,,11.066929217688056,P2,Nutrition
