rank,app_name,publisher,category,revenue,downloads,arpu,growth_rate,dau,score,priority,source
1,Peloton: Fitness & Workouts,Peloton Interactive,Health & Fitness,3440435,48686,50.0,13.3,270496,84.4,P0,Health_Total
2,WeightWatchers Program,WW,Health & Fitness,1305470,27926,46.75,-8.1,261096,79.9,P0,Nutrition
3,Zwift: Indoor Cycling Fitness,Zwift,Health & Fitness,2221747,43422,50.0,6.5,13770,79.1,P0,Health_Total
4,MyFitnessPal: Calorie Counter,MyFitnessPal,Health & Fitness,9359840,406984,23.0,4.7,2648160,76.7,P0,Nutrition
5,LADDER Strength Training Plans,Milton Finch,Health & Fitness,3773850,114633,32.92,12.9,104616,74.9,P0,Health_Total
6,Fitbit: Health & Fitness,Google,Health & Fitness,2432610,88901,27.36,-1.0,1989699,74.1,P0,Health_Total
7,Carbon - Macro Coach & Tracker,Reform,Health & Fitness,174786,0,50.0,0.4,9888,72.5,P0,Nutrition
8,Headspace: Meditation & Sleep,Headspace,Health & Fitness,2256119,80359,28.08,1.0,362410,72.2,P0,Health_Total
9,Calm,Calm.com,Health & Fitness,3732427,162356,22.99,-3.7,915709,71.9,P0,Health_Total
10,Flo Cycle & Period Tracker,Palta,Health & Fitness,8567288,660630,12.97,10.7,3995653,71.6,P0,Health_Total
11,"Strava: Run, Bike, Walk",Strava,Health & Fitness,7041886,535405,13.15,-6.8,4414864,70.4,P0,Health_Total
12,MacroFactor - Macro Tracker,Stronger By Science,Health & Fitness,1498991,59777,25.08,-6.0,313480,69.8,P1,Nutrition
13,Calorie Counter +,Nutracheck,Health & Fitness,689385,26116,26.4,-14.5,118617,66.8,P1,Nutrition
14,Runna: Running Plans & Coach,RunBuddy,Health & Fitness,2463684,135556,18.17,-3.6,207500,66.5,P1,Health_Total
15,"Noom Weight Loss, Food Tracker",Noom,Health & Fitness,911211,43893,20.76,-11.8,215382,65.6,P1,Nutrition
16,Lose It! – Calorie Counter,Ziff Davis,Health & Fitness,1022296,94886,10.77,8.9,1286911,64.3,P1,Nutrition
17,AI Calorie Tracker by Yazio,YAZIO,Health & Fitness,1595729,170779,9.34,-8.5,824484,63.3,P1,Nutrition
18,"AllTrails: Hike, Bike & Run",AllTrails,Health & Fitness,2491370,200716,12.41,-28.0,313156,63.0,P1,Health_Total
19,Cal AI - Calorie Tracker,Viral Development,Health & Fitness,1960697,419754,4.67,16.3,231788,61.0,P1,Nutrition
20,Calorie Counter - MyNetDiary,MyNetDiary,Health & Fitness,687299,128420,5.35,-10.4,444829,58.2,P1,Nutrition
21,Yuka - Food & Cosmetic Scanner,Yuka,Health & Fitness,647504,617729,1.05,-3.4,1257411,57.7,P1,Nutrition
22,Zero: Fasting & Health Tracker,Big Sky Health,Health & Fitness,252447,27081,9.32,0.3,116682,56.4,P1,Nutrition
23,Foodvisor - AI Calorie Counter,Foodvisor,Health & Fitness,355726,71820,4.95,-2.5,113586,54.9,P1,Nutrition
24,RP Diet Coach & Planner,Renaissance Periodization,Health & Fitness,191540,16591,11.54,41.7,5519,54.8,P1,Nutrition
25,Lifesum: AI Calorie Counter,Lifesum,Health & Fitness,256866,40181,6.39,-9.4,97721,54.3,P1,Nutrition
26,Fastic Weight Loss & Fasting,Fastic,Health & Fitness,216009,38053,5.68,-16.2,90890,53.1,P1,Nutrition
27,Carb Manager—Keto Diet Tracker,Wombat Apps,Health & Fitness,139670,14486,9.64,-10.7,27833,52.6,P1,Nutrition
28,BitePal: Food Tracker Pet,Reface Lithuania,Health & Fitness,254174,77972,3.26,-5.9,63445,52.3,P1,Nutrition
29,Calorie Counter & Food Tracker,Municorn,Health & Fitness,184563,31978,5.77,-0.7,31393,52.1,P1,Nutrition
30,HitMeal Calorie & Food Tracker,AIBY,Health & Fitness,180165,25993,6.93,-15.6,26508,51.6,P1,Nutrition
