产品,类别,阶段,步骤,文件名,路径
MyFitnessPal,热量追踪,Launch,01,01_Launch_01.png,MyFitnessPal_Analysis/Screens/01_Launch_01.png
MyFitnessPal,热量追踪,Launch,02,01_Launch_02.png,MyFitnessPal_Analysis/Screens/01_Launch_02.png
MyFitnessPal,热量追踪,Onboarding,01,02_Onboarding_01.png,MyFitnessPal_Analysis/Screens/02_Onboarding_01.png
MyFitnessPal,热量追踪,Onboarding,02,02_Onboarding_02.png,MyFitnessPal_Analysis/Screens/02_Onboarding_02.png
MyFitnessPal,热量追踪,Onboarding,03,02_Onboarding_03.png,MyFitnessPal_Analysis/Screens/02_Onboarding_03.png
MyFitnessPal,热量追踪,Onboarding,04,02_Onboarding_04.png,MyFitnessPal_Analysis/Screens/02_Onboarding_04.png
MyFitnessPal,热量追踪,Onboarding,05,02_Onboarding_05.png,MyFitnessPal_Analysis/Screens/02_Onboarding_05.png
MyFitnessPal,热量追踪,Onboarding,06,02_Onboarding_06.png,MyFitnessPal_Analysis/Screens/02_Onboarding_06.png
MyFitnessPal,热量追踪,Onboarding,07,02_Onboarding_07.png,MyFitnessPal_Analysis/Screens/02_Onboarding_07.png
MyFitnessPal,热量追踪,Onboarding,08,02_Onboarding_08.png,MyFitnessPal_Analysis/Screens/02_Onboarding_08.png
MyFitnessPal,热量追踪,Onboarding,09,02_Onboarding_09.png,MyFitnessPal_Analysis/Screens/02_Onboarding_09.png
MyFitnessPal,热量追踪,Onboarding,10,02_Onboarding_10.png,MyFitnessPal_Analysis/Screens/02_Onboarding_10.png
MyFitnessPal,热量追踪,Onboarding,11,02_Onboarding_11.png,MyFitnessPal_Analysis/Screens/02_Onboarding_11.png
MyFitnessPal,热量追踪,Onboarding,12,02_Onboarding_12.png,MyFitnessPal_Analysis/Screens/02_Onboarding_12.png
MyFitnessPal,热量追踪,Onboarding,13,02_Onboarding_13.png,MyFitnessPal_Analysis/Screens/02_Onboarding_13.png
MyFitnessPal,热量追踪,Onboarding,14,02_Onboarding_14.png,MyFitnessPal_Analysis/Screens/02_Onboarding_14.png
MyFitnessPal,热量追踪,Onboarding,15,02_Onboarding_15.png,MyFitnessPal_Analysis/Screens/02_Onboarding_15.png
MyFitnessPal,热量追踪,Onboarding,16,02_Onboarding_16.png,MyFitnessPal_Analysis/Screens/02_Onboarding_16.png
MyFitnessPal,热量追踪,Onboarding,17,02_Onboarding_17.png,MyFitnessPal_Analysis/Screens/02_Onboarding_17.png
MyFitnessPal,热量追踪,Onboarding,18,02_Onboarding_18.png,MyFitnessPal_Analysis/Screens/02_Onboarding_18.png
MyFitnessPal,热量追踪,Onboarding,19,02_Onboarding_19.png,MyFitnessPal_Analysis/Screens/02_Onboarding_19.png
MyFitnessPal,热量追踪,Onboarding,20,02_Onboarding_20.png,MyFitnessPal_Analysis/Screens/02_Onboarding_20.png
MyFitnessPal,热量追踪,Onboarding,21,02_Onboarding_21.png,MyFitnessPal_Analysis/Screens/02_Onboarding_21.png
MyFitnessPal,热量追踪,Onboarding,22,02_Onboarding_22.png,MyFitnessPal_Analysis/Screens/02_Onboarding_22.png
MyFitnessPal,热量追踪,Onboarding,23,02_Onboarding_23.png,MyFitnessPal_Analysis/Screens/02_Onboarding_23.png
MyFitnessPal,热量追踪,Onboarding,24,02_Onboarding_24.png,MyFitnessPal_Analysis/Screens/02_Onboarding_24.png
MyFitnessPal,热量追踪,Onboarding,25,02_Onboarding_25.png,MyFitnessPal_Analysis/Screens/02_Onboarding_25.png
MyFitnessPal,热量追踪,Onboarding,26,02_Onboarding_26.png,MyFitnessPal_Analysis/Screens/02_Onboarding_26.png
